@relation Homer-Bart-Lisa

@attribute colorOrange numeric
@attribute colorWhite numeric
@attribute colorBlue numeric
@attribute colorPurple numeric
@attribute colorBrown numeric
@attribute colorRed numeric
@attribute classe {Homer, Bart, Lisa, Other}

@data

0.390187,0.848688,0.000000,0.267753,0.000000,0.004112,Bart
0.225975,0.841194,0.000000,0.267555,0.000000,0.069753,Bart
0.283238,0.822943,0.000000,0.249492,0.070150,0.086692,Bart
0.209085,0.558568,0.000000,0.000000,0.000000,0.000000,Bart
0.000000,0.899625,0.008176,0.065241,0.000000,0.000000,Bart
0.000000,0.893304,0.000000,0.468069,0.000000,0.000000,Bart
0.227535,0.797041,0.007019,0.251733,0.000069,0.000000,Bart
0.304235,0.816885,0.000000,0.191928,0.000000,0.000000,Bart
0.292568,0.729790,0.000000,0.226227,0.000000,0.004533,Bart
0.346080,0.799313,0.000000,0.269802,0.000000,0.000000,Bart
0.487243,0.658689,0.000000,0.001870,0.000000,0.000000,Bart
0.351334,0.673541,0.000000,0.253853,0.000000,0.004137,Bart
0.289451,0.801203,0.000000,0.205989,0.000000,0.000000,Bart
0.197790,0.726710,0.000000,0.279766,0.000000,0.000000,Bart
0.347214,0.884865,0.000000,0.328715,0.218791,0.265335,Bart
0.273725,0.955986,0.000425,0.335455,0.000000,0.000000,Bart
0.470106,0.658719,0.000000,0.005285,0.000000,0.000000,Bart
0.000000,0.880159,0.000000,0.002089,0.000000,0.000000,Bart
0.238739,0.911675,0.000000,0.074911,0.037088,0.006964,Bart
0.000000,0.664543,0.000000,0.001891,0.000000,0.000000,Bart
0.313161,0.747470,0.003892,0.002567,0.000000,0.000000,Bart
0.000000,0.687031,0.000000,0.002651,0.000000,0.000000,Bart
0.316017,0.731807,0.000000,0.306172,0.000000,0.000000,Bart
0.352335,0.834477,0.000000,0.086036,0.000000,0.000000,Bart
0.269669,0.917980,0.060713,0.258122,0.000000,0.003423,Bart
0.342026,0.836224,0.000000,0.000000,0.000000,0.004861,Bart
0.262341,0.679782,0.000000,0.273449,0.000000,0.000852,Bart
0.000000,0.761349,0.000000,0.000000,0.000000,0.013631,Bart
0.285768,0.646987,0.000000,0.000000,0.000000,0.000000,Bart
0.000000,0.823933,0.002425,0.197316,0.000000,0.345254,Bart
0.000000,0.669583,0.001312,0.000512,0.000000,0.000000,Bart
0.328149,0.850911,0.000000,0.294239,0.000000,0.000000,Bart
0.381881,0.836720,0.163968,0.320488,0.006807,0.016348,Bart
0.000000,0.759985,0.000000,0.495036,0.000000,0.006709,Bart
0.000000,0.718614,0.000000,0.000000,0.206948,0.178582,Bart
0.226469,0.840014,0.000000,0.257622,0.000000,0.000000,Bart
0.000000,0.783376,0.000000,0.294250,0.000174,0.000000,Bart
0.144324,0.871077,0.000000,0.179263,0.000000,0.033661,Bart
0.168611,0.761014,0.000716,0.150448,0.001128,0.004820,Bart
0.256371,0.648598,0.000145,0.002562,0.000097,0.000000,Bart
0.000000,0.601244,0.000000,0.570860,0.000312,0.000000,Bart
0.388876,0.906475,0.000000,0.202380,0.000000,0.000000,Bart
0.358349,0.802671,0.000000,0.218054,0.000433,0.000000,Bart
0.326263,0.758238,0.000000,0.281399,0.000000,0.000000,Bart
0.242408,0.703228,0.000000,0.009777,0.000000,0.000000,Bart
0.000000,0.945753,0.000000,0.836338,0.000000,0.000000,Bart
0.000000,0.868023,0.004322,0.161075,0.000142,0.006223,Bart
0.000106,0.864053,0.000000,0.038017,0.000000,0.000000,Bart
0.000000,0.718614,0.000000,0.000000,0.206948,0.178582,Bart
0.000000,0.875740,0.000000,0.075517,0.000000,0.000000,Bart
0.380650,0.940077,0.000000,0.205570,0.000000,0.000000,Bart
0.000000,0.851783,0.008069,0.038582,0.000000,0.000000,Bart
0.323756,0.722763,0.000000,0.311569,0.005507,0.000000,Bart
0.000000,0.575336,0.000000,0.000000,0.000718,0.000000,Bart
0.003247,0.633300,0.004028,0.007138,0.000225,0.000000,Bart
0.000000,0.803835,0.000000,0.097537,0.000000,0.000000,Bart
0.000000,0.942290,0.035903,0.143125,0.011370,0.000000,Bart
0.256371,0.648598,0.000145,0.002562,0.000097,0.000000,Bart
0.336227,0.697409,0.000000,0.024189,0.000000,0.000000,Bart
0.175032,0.827653,0.000000,0.268380,0.000000,0.000000,Bart
0.000000,0.651907,0.000000,0.000000,0.000000,0.000000,Bart
0.000000,0.999977,0.000000,0.997519,0.857143,0.000000,Bart
0.000000,0.670994,0.000000,0.046938,0.001505,0.000000,Bart
0.722208,0.921625,0.000000,0.317590,0.000000,0.000000,Bart
0.318351,0.892329,0.000000,0.035337,0.000000,0.000000,Bart
0.032005,0.932581,0.000000,0.329909,0.066760,0.005678,Bart
0.324480,0.888499,0.000000,0.221438,0.000000,0.000000,Bart
0.052480,0.832663,0.000000,0.097054,0.000000,0.000000,Bart
0.283291,0.762840,0.000000,0.235964,0.000000,0.007932,Bart
0.302023,0.618289,0.000000,0.042121,0.000000,0.000000,Bart
0.377226,0.796305,0.000000,0.039686,0.000000,0.007748,Bart
0.129865,0.793146,0.000000,0.000000,0.004343,0.002610,Bart
0.321752,0.768541,0.000000,0.252838,0.000000,0.000000,Bart
0.000000,0.807488,0.013105,0.009731,0.000000,0.000000,Bart
0.120158,0.659419,0.000000,0.003986,0.239439,0.005726,Bart
0.286078,0.586126,0.000000,0.007767,0.000000,0.008965,Bart
0.000000,0.718436,0.000000,0.006020,0.000000,0.019304,Bart
0.204955,0.763702,0.000000,0.029526,0.000000,0.220068,Bart
0.292773,0.720115,0.000000,0.042520,0.026923,0.000000,Bart
0.000000,0.998826,0.000000,0.375839,0.000000,0.000000,Bart
0.171049,0.799859,0.585242,0.011650,0.073676,0.008375,Homer
0.000000,0.661199,0.000000,0.000000,0.142144,0.000000,Homer
0.000000,0.809535,0.000000,0.000000,0.198979,0.000000,Homer
0.000000,0.904254,0.514274,0.016032,0.122879,0.000000,Homer
0.000000,0.551670,0.000000,0.004618,0.020633,0.001017,Homer
0.000000,0.903213,0.595044,0.033355,0.237311,0.000000,Homer
0.000000,0.909473,0.580485,0.012967,0.118050,0.000000,Homer
0.000000,0.812564,0.000092,0.000000,0.188465,0.000023,Homer
0.000000,0.877880,0.507143,0.007505,0.071532,0.005285,Homer
0.000000,0.885609,0.709925,0.010816,0.122702,0.000000,Homer
0.090735,0.873363,0.372723,0.021435,0.098515,0.000324,Homer
0.106247,0.781481,0.417229,0.115836,0.061440,0.000000,Homer
0.000000,0.846167,0.577327,0.012450,0.111595,0.001884,Homer
0.000000,0.861163,0.815770,0.038629,0.224105,0.076890,Homer
0.000000,0.750295,0.000000,0.000000,0.024568,0.004259,Homer
0.000000,0.685328,0.006137,0.005557,0.058557,0.009189,Homer
0.000000,0.839324,0.000000,0.000000,0.099719,0.000000,Homer
0.000000,0.827959,0.539389,0.019380,0.120701,0.000000,Homer
0.181875,0.848549,0.469786,0.101847,0.082980,0.000000,Homer
0.000000,0.874198,0.588420,0.019763,0.131566,0.000000,Homer
0.000000,0.880420,0.576916,0.049974,0.161238,0.000860,Homer
0.000000,0.845726,0.556019,0.016769,0.193883,0.000000,Homer
0.000000,0.881742,0.604619,0.013913,0.121282,0.000000,Homer
0.000000,0.927014,0.618005,0.014104,0.049868,0.000000,Homer
0.094667,0.833311,0.533513,0.073683,0.066213,0.003860,Homer
0.000000,0.880028,0.055110,0.036101,0.221188,0.016404,Homer
0.000000,0.732055,0.016391,0.033940,0.016282,0.000000,Homer
0.000000,0.758006,0.188075,0.005191,0.090756,0.002968,Homer
0.000000,0.606175,0.001351,0.003028,0.034306,0.000000,Homer
0.000000,0.862315,0.644004,0.017942,0.038435,0.000000,Homer
0.000000,0.696704,0.000000,0.005742,0.232566,0.000000,Homer
0.000000,0.893726,0.624358,0.034176,0.076522,0.008160,Homer
0.000000,0.719504,0.013170,0.514756,0.000000,0.000000,Homer
0.000000,0.856868,0.008879,0.012962,0.000000,0.000000,Homer
0.000000,0.870094,0.513554,0.036693,0.073622,0.000000,Homer
0.000000,0.908020,0.631653,0.077899,0.004945,0.000000,Homer
0.000000,0.744459,0.000000,0.014284,0.032903,0.000000,Homer
0.000000,0.855516,0.008387,0.023812,0.165507,0.000000,Homer
0.000000,0.631932,0.000000,0.000000,0.000000,0.000000,Homer
0.000000,0.919720,0.551648,0.050214,0.114052,0.000000,Homer
0.067866,0.900245,0.546720,0.000876,0.118602,0.132552,Homer
0.000000,0.840353,0.000000,0.019270,0.070787,0.000000,Homer
0.000000,0.892942,0.525307,0.000000,0.109004,0.000000,Homer
0.000000,0.925333,0.000000,0.000000,0.143538,0.000000,Homer
0.000000,0.626762,0.000000,0.000712,0.167024,0.000000,Homer
0.000000,0.672447,0.000000,0.000433,0.141054,0.000000,Homer
0.000000,0.912507,0.000000,0.224419,0.202392,0.000000,Homer
0.000000,0.841197,0.001433,0.009746,0.177294,0.000000,Homer
0.000000,0.713686,0.000000,0.003781,0.169334,0.000000,Homer
0.000000,0.949037,0.047638,0.063608,0.005120,0.000000,Homer
0.000000,0.885609,0.709925,0.010816,0.122702,0.000000,Homer
0.000000,0.647286,0.100719,0.003052,0.094013,0.005024,Homer
0.000000,0.745123,0.000000,0.146197,0.052398,0.000000,Homer
0.000000,0.886407,0.179948,0.618660,0.093190,0.000000,Homer
0.000000,0.798281,0.000000,0.000000,0.146739,0.000000,Homer
0.000000,0.854937,0.158640,0.015302,0.162745,0.008666,Homer
0.000000,0.794067,0.000000,0.000900,0.076543,0.000000,Homer
0.000000,0.854402,0.000000,0.000000,0.575029,0.000000,Homer
0.000000,0.661356,0.000000,0.000602,0.257659,0.000000,Homer
0.000000,0.761596,0.210433,0.001294,0.146376,0.000000,Homer
0.000000,0.835702,0.471941,0.011060,0.102899,0.000000,Homer
0.000000,0.801687,0.000000,0.000000,0.200528,0.008685,Homer
0.000000,0.516307,0.000000,0.000000,0.000000,0.048469,Lisa
0.000000,0.657312,0.000000,0.000000,0.000000,0.268488,Lisa
0.000000,0.871478,0.000000,0.000000,0.000000,0.350954,Lisa
0.000000,0.759869,0.000000,0.010941,0.000000,0.158840,Lisa
0.000000,0.722517,0.004971,0.000000,0.000000,0.300850,Lisa
0.000000,0.781366,0.000000,0.000000,0.000000,0.336827,Lisa
0.000000,0.819748,0.000000,0.000000,0.000000,0.314812,Lisa
0.120604,0.770637,0.003751,0.170264,0.000000,0.177736,Lisa
0.000000,0.806419,0.000000,0.000000,0.000000,0.365022,Lisa
0.000000,0.898599,0.000000,0.081860,0.000000,0.394535,Lisa
0.000000,0.728248,0.000000,0.000000,0.000000,0.249132,Lisa
0.000000,0.828970,0.000000,0.000000,0.000000,0.112163,Lisa
0.000000,0.723299,0.000000,0.000000,0.000000,0.054675,Lisa
0.162607,0.892849,0.000000,0.030548,0.036085,0.216171,Lisa
0.000000,0.686559,0.000000,0.008976,0.000000,0.308321,Lisa
0.000000,0.748486,0.000000,0.000000,0.000000,0.081841,Lisa
0.000000,0.708845,0.000000,0.000000,0.000000,0.239412,Lisa
0.000462,0.885124,0.003685,0.000000,0.003838,0.296433,Lisa
0.098197,0.824539,0.000000,0.000000,0.026019,0.204449,Lisa
0.000000,0.646741,0.000000,0.000000,0.000000,0.196414,Lisa
0.000000,0.731037,0.000000,0.000000,0.000000,0.293674,Lisa
0.000000,0.734791,0.000000,0.000000,0.000000,0.359182,Lisa
0.000000,0.848771,0.000000,0.000000,0.000000,0.346373,Lisa
0.000000,0.708229,0.000000,0.000000,0.000000,0.258373,Lisa
0.000000,0.590393,0.000000,0.004517,0.000000,0.000000,Lisa
0.000000,0.585323,0.000000,0.000000,0.000313,0.012687,Lisa
0.000000,0.573160,0.000000,0.000000,0.000000,0.318612,Lisa
0.000000,0.900706,0.000000,0.000000,0.000000,0.000000,Lisa
0.000000,0.623063,0.000000,0.000000,0.000000,0.000000,Lisa
0.000000,0.867751,0.000000,0.013460,0.000000,0.341429,Lisa
0.000000,0.833452,0.000000,0.012119,0.003388,0.255174,Lisa
0.000000,0.701957,0.000000,0.000000,0.000128,0.307037,Lisa
0.000000,0.607249,0.000000,0.000000,0.000000,0.259613,Lisa
