@relation Homer-Bart-Lisa-Others

@attribute colorOrange numeric
@attribute colorWhite numeric
@attribute colorBlue numeric
@attribute colorPurple numeric
@attribute colorBrown numeric
@attribute colorRed numeric
@attribute maxDeterminant numeric
@attribute classe {Homer, Bart, Lisa, Other}

@data

0.390187,0.848688,0.000000,0.267753,0.000000,0.004112,0.390187,Bart
0.225975,0.841194,0.000000,0.267555,0.000000,0.069753,0.225975,Bart
0.283238,0.822943,0.000000,0.249492,0.070150,0.086692,0.283238,Bart
0.209085,0.558568,0.000000,0.000000,0.000000,0.000000,0.209085,Bart
0.000000,0.899625,0.008176,0.065241,0.000000,0.000000,0.000000,Bart
0.000000,0.893304,0.000000,0.468069,0.000000,0.000000,0.000000,Bart
0.227535,0.797041,0.007019,0.251733,0.000069,0.000000,0.227535,Bart
0.304235,0.816885,0.000000,0.191928,0.000000,0.000000,0.304235,Bart
0.292568,0.729790,0.000000,0.226227,0.000000,0.004533,0.292568,Bart
0.346080,0.799313,0.000000,0.269802,0.000000,0.000000,0.346080,Bart
0.487243,0.658689,0.000000,0.001870,0.000000,0.000000,0.487243,Bart
0.351334,0.673541,0.000000,0.253853,0.000000,0.004137,0.351334,Bart
0.289451,0.801203,0.000000,0.205989,0.000000,0.000000,0.289451,Bart
0.197790,0.726710,0.000000,0.279766,0.000000,0.000000,0.197790,Bart
0.347214,0.884865,0.000000,0.328715,0.218791,0.265335,0.347214,Bart
0.273725,0.955986,0.000425,0.335455,0.000000,0.000000,0.273725,Bart
0.470106,0.658719,0.000000,0.005285,0.000000,0.000000,0.470106,Bart
0.000000,0.880159,0.000000,0.002089,0.000000,0.000000,0.000000,Bart
0.238739,0.911675,0.000000,0.074911,0.037088,0.006964,0.238739,Bart
0.000000,0.664543,0.000000,0.001891,0.000000,0.000000,0.000000,Bart
0.313161,0.747470,0.003892,0.002567,0.000000,0.000000,0.313161,Bart
0.000000,0.687031,0.000000,0.002651,0.000000,0.000000,0.000000,Bart
0.316017,0.731807,0.000000,0.306172,0.000000,0.000000,0.316017,Bart
0.352335,0.834477,0.000000,0.086036,0.000000,0.000000,0.352335,Bart
0.269669,0.917980,0.060713,0.258122,0.000000,0.003423,0.269669,Bart
0.342026,0.836224,0.000000,0.000000,0.000000,0.004861,0.342026,Bart
0.262341,0.679782,0.000000,0.273449,0.000000,0.000852,0.262341,Bart
0.000000,0.761349,0.000000,0.000000,0.000000,0.013631,0.013631,Bart
0.285768,0.646987,0.000000,0.000000,0.000000,0.000000,0.285768,Bart
0.000000,0.823933,0.002425,0.197316,0.000000,0.345254,0.345254,Bart
0.000000,0.669583,0.001312,0.000512,0.000000,0.000000,0.000000,Bart
0.328149,0.850911,0.000000,0.294239,0.000000,0.000000,0.328149,Bart
0.381881,0.836720,0.163968,0.320488,0.006807,0.016348,0.381881,Bart
0.000000,0.759985,0.000000,0.495036,0.000000,0.006709,0.006709,Bart
0.000000,0.718614,0.000000,0.000000,0.206948,0.178582,0.206948,Bart
0.226469,0.840014,0.000000,0.257622,0.000000,0.000000,0.226469,Bart
0.000000,0.783376,0.000000,0.294250,0.000174,0.000000,0.000174,Bart
0.144324,0.871077,0.000000,0.179263,0.000000,0.033661,0.144324,Bart
0.168611,0.761014,0.000716,0.150448,0.001128,0.004820,0.168611,Bart
0.256371,0.648598,0.000145,0.002562,0.000097,0.000000,0.256371,Bart
0.000000,0.601244,0.000000,0.570860,0.000312,0.000000,0.000312,Bart
0.388876,0.906475,0.000000,0.202380,0.000000,0.000000,0.388876,Bart
0.358349,0.802671,0.000000,0.218054,0.000433,0.000000,0.358349,Bart
0.326263,0.758238,0.000000,0.281399,0.000000,0.000000,0.326263,Bart
0.242408,0.703228,0.000000,0.009777,0.000000,0.000000,0.242408,Bart
0.000000,0.945753,0.000000,0.836338,0.000000,0.000000,0.000000,Bart
0.000000,0.868023,0.004322,0.161075,0.000142,0.006223,0.006223,Bart
0.000106,0.864053,0.000000,0.038017,0.000000,0.000000,0.000106,Bart
0.000000,0.718614,0.000000,0.000000,0.206948,0.178582,0.206948,Bart
0.000000,0.875740,0.000000,0.075517,0.000000,0.000000,0.000000,Bart
0.380650,0.940077,0.000000,0.205570,0.000000,0.000000,0.380650,Bart
0.000000,0.851783,0.008069,0.038582,0.000000,0.000000,0.000000,Bart
0.323756,0.722763,0.000000,0.311569,0.005507,0.000000,0.323756,Bart
0.000000,0.575336,0.000000,0.000000,0.000718,0.000000,0.000718,Bart
0.003247,0.633300,0.004028,0.007138,0.000225,0.000000,0.003247,Bart
0.000000,0.803835,0.000000,0.097537,0.000000,0.000000,0.000000,Bart
0.000000,0.942290,0.035903,0.143125,0.011370,0.000000,0.011370,Bart
0.256371,0.648598,0.000145,0.002562,0.000097,0.000000,0.256371,Bart
0.336227,0.697409,0.000000,0.024189,0.000000,0.000000,0.336227,Bart
0.175032,0.827653,0.000000,0.268380,0.000000,0.000000,0.175032,Bart
0.000000,0.651907,0.000000,0.000000,0.000000,0.000000,0.000000,Bart
0.000000,0.999977,0.000000,0.997519,0.857143,0.000000,0.857143,Bart
0.000000,0.670994,0.000000,0.046938,0.001505,0.000000,0.001505,Bart
0.722208,0.921625,0.000000,0.317590,0.000000,0.000000,0.722208,Bart
0.318351,0.892329,0.000000,0.035337,0.000000,0.000000,0.318351,Bart
0.032005,0.932581,0.000000,0.329909,0.066760,0.005678,0.066760,Bart
0.324480,0.888499,0.000000,0.221438,0.000000,0.000000,0.324480,Bart
0.052480,0.832663,0.000000,0.097054,0.000000,0.000000,0.052480,Bart
0.283291,0.762840,0.000000,0.235964,0.000000,0.007932,0.283291,Bart
0.302023,0.618289,0.000000,0.042121,0.000000,0.000000,0.302023,Bart
0.377226,0.796305,0.000000,0.039686,0.000000,0.007748,0.377226,Bart
0.129865,0.793146,0.000000,0.000000,0.004343,0.002610,0.129865,Bart
0.321752,0.768541,0.000000,0.252838,0.000000,0.000000,0.321752,Bart
0.000000,0.807488,0.013105,0.009731,0.000000,0.000000,0.000000,Bart
0.120158,0.659419,0.000000,0.003986,0.239439,0.005726,0.239439,Bart
